Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Indonesia,IDN,GDP (current US$),8.61E+11,9.32E+11,1.02E+12,1.04E+12,1.12E+12,1.06E+12,1.19E+12,1.32E+12,1.37E+12
Iran (Islamic Republic of),IRN,GDP (current US$),4.08E+11,4.58E+11,4.87E+11,3.30E+11,2.84E+11,2.40E+11,3.59E+11,4.13E+11,4.02E+11
Iraq,IRQ,GDP (current US$),1.67E+11,1.67E+11,1.87E+11,2.27E+11,2.34E+11,1.81E+11,2.10E+11,2.87E+11,2.51E+11
Ireland,IRL,GDP (current US$),2.92E+11,2.99E+11,3.37E+11,3.87E+11,3.99E+11,4.29E+11,5.13E+11,5.33E+11,5.46E+11
Isle of Man,IMN,GDP (current US$),7084800892,6846377563,6979788334,7491649456,7314967866,6684225641,7931193222,,
Israel,ISR,GDP (current US$),3.03E+11,3.22E+11,3.58E+11,3.77E+11,4.02E+11,4.13E+11,4.89E+11,5.25E+11,5.10E+11
Italy,ITA,GDP (current US$),1.84E+12,1.88E+12,1.96E+12,2.09E+12,2.01E+12,1.90E+12,2.15E+12,2.07E+12,2.25E+12
Jamaica,JAM,GDP (current US$),14188936918,14077096677,14808985133,15730792876,15830766531,13812421836,14657586159,17097760687,19423355367
Japan,JPN,GDP (current US$),4.44E+12,5.00E+12,4.93E+12,5.04E+12,5.12E+12,5.06E+12,5.03E+12,4.26E+12,4.21E+12
Jordan,JOR,GDP (current US$),38587017887,39892551127,41608435915,43370860704,44502816901,43700383099,46296100141,48653381831,50813642349
Kazakhstan,KAZ,GDP (current US$),1.84E+11,1.37E+11,1.67E+11,1.79E+11,1.82E+11,1.71E+11,1.97E+11,2.25E+11,2.61E+11
Kenya,KEN,GDP (current US$),70120446897,74815144164,82036510877,92202979985,1.00E+11,1.01E+11,1.10E+11,1.13E+11,1.07E+11
Kiribati,KIR,GDP (current US$),191572320.4,206658568.8,223029864.5,233859230.2,216891541,222973879.7,289207526.3,270520731.6,279034355.1
"Democratic People's Republic of Korea	",PRK,GDP (current US$),,,,,,,,,
Republic of Korea,KOR,GDP (current US$),1.47E+12,1.50E+12,1.62E+12,1.73E+12,1.65E+12,1.64E+12,1.82E+12,1.67E+12,1.71E+12
Kosovo,XKX,GDP (current US$),6295848423,6682677290,7180764703,7878759715,7899737577,7717145218,9413403724,9354903062,10438351483
Kuwait,KWT,GDP (current US$),1.15E+11,1.09E+11,1.21E+11,1.38E+11,1.39E+11,1.08E+11,1.42E+11,1.83E+11,1.62E+11
Kyrgyzstan,KGZ,GDP (current US$),6678177512,6813095379,7702938379,8271106235,9371275264,8270468614,9249133946,12134931018,13987627909
Lao People's Democratic Republic,LAO,GDP (current US$),14426380126,15912501723,17071155481,18141641090,18740561513,18981805250,18827148531,15468785204,15843155731
Latvia,LVA,GDP (current US$),27263090547,28083597512,30483806018,34429023435,34225547537,34390910339,39443126174,40422521943,43627078481
Lebanon,LBN,GDP (current US$),49929337837,51147308774,53027680686,54901519156,51605959131,31712128254,23131941557,20992421949,
Lesotho,LSO,GDP (current US$),2359686725,2114426454,2306741674,2556247292,2390702296,2053338465,2406780519,2289355249,2046039024
Liberia,LBR,GDP (current US$),3227075700,3398419600,3390703400,3422754800,3319596500,3176126340,3513049520,4001047000,4332000000
Libya,LBY,GDP (current US$),48717501321,49912073701,67157452182,76686029772,72081962263,65688454972,47786789104,55938727098,50491722446
Liechtenstein,LIE,GDP (current US$),6268515276,6237302034,6474308718,6692620692,6436467007,6405870210,7710380086,7364654515,
Lithuania,LTU,GDP (current US$),41435533340,43047309306,47758736932,53751411409,54808531641,56964942999,66798933786,71013953448,77836396963
Luxembourg,LUX,GDP (current US$),60071584216,62216885436,65712180343,71000359760,69890505324,73699366700,85584105994,81641807866,85755006124
"Macao SAR, China",MAC,GDP (current US$),45048190598,45070808689,50383871121,55190661340,55082293844,25343525936,30969334705,24464719190,47061843716
Madagascar,MDG,GDP (current US$),11323020701,11848613858,13176313594,13760033282,14104664679,13051441204,14554754117,15302510500,16031702915
Malawi,MWI,GDP (current US$),9219474379,7909868618,8943543677,9880675786,11077305330,12041250084,12580922008,13129458326,14084341062
Malaysia,MYS,GDP (current US$),3.01E+11,3.01E+11,3.19E+11,3.59E+11,3.65E+11,3.37E+11,3.74E+11,4.07E+11,4.00E+11
Maldives,MDV,GDP (current US$),4129505319,4409942624,4816426257,5404344163,5726094799,3712604583,5254366312,6170638746,6600000000
Mali,MLI,GDP (current US$),13104764378,14026048336,15365713048,17070867590,17280250810,17465392764,19309463508,18780322204,20904898296
Malta,MLT,GDP (current US$),11091483660,11668015566,13484541926,15404393365,16004563886,15249999048,18123718947,18357069273,20956999452
Marshall Islands,MHL,GDP (current US$),183222930.9,200900711.1,212935714.7,219430038.5,231996704.1,240751144.4,257784881.6,258774475.1,284000000
Mauritania,MRT,GDP (current US$),6166863897,6398747592,6800135898,7473550557,7894764886,8260752385,9222536364,9744039515,10452577063
Mauritius,MUS,GDP (current US$),12007291046,12594155464,13713506131,14735695931,14436346980,11408106446,11484348766,12927979286,14397127281
Mexico,MEX,GDP (current US$),1.21E+12,1.11E+12,1.19E+12,1.26E+12,1.31E+12,1.12E+12,1.31E+12,1.46E+12,1.79E+12
Micronesia (Federated States of),FSM,GDP (current US$),316489900,325000000,359000000,392000000,394000000,372000000,390000000,430000000,460000000
Republic of Moldova,MDA,GDP (current US$),7797667197,7980917076,9514404016,11252353421,11736797055,11530746234,13691869264,14510490660,16539436547
Monaco,MCO,GDP (current US$),6261649891,6465645585,6431271365,7182444410,7383944044,6739645416,8626081321,8784002932,
Mongolia,MNG,GDP (current US$),11619892591,11181350649,11480847741,13178094720,14206359018,13312981429,15286441738,17146471714,19872180370
Montenegro,MNE,GDP (current US$),4054730078,4376930578,4856599481,5506942238,5542054181,4769996866,5861427505,6229801581,7404541965
Morocco,MAR,GDP (current US$),1.10E+11,1.12E+11,1.19E+11,1.27E+11,1.29E+11,1.21E+11,1.42E+11,1.31E+11,1.41E+11
Mozambique,MOZ,GDP (current US$),16208985770,12069051237,13264640646,15017359042,15512758965,14235420174,16168055475,18406835495,20624597847
